,date,state,positive,positiveIncrease,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease
441,20210228,VA,576050.0,1736,8552.0,170,1323.0,24
442,20210228,VI,2646.0,0,25.0,0,,0
443,20210228,VT,15198.0,100,204.0,0,26.0,0
444,20210228,WA,339773.0,951,4956.0,0,498.0,44
445,20210228,WI,617367.0,481,7014.0,0,290.0,39
446,20210228,WV,131855.0,275,2300.0,3,239.0,0
447,20210228,WY,54394.0,44,671.0,0,25.0,1
448,20210227,AK,55989.0,0,290.0,0,43.0,0
449,20210227,AL,492683.0,834,9930.0,61,622.0,0
450,20210227,AR,319195.0,557,5417.0,10,475.0,16
451,20210227,AS,0.0,0,0.0,0,,0
452,20210227,AZ,815707.0,1179,15967.0,70,1317.0,48
453,20210227,CA,3470877.0,5151,51821.0,439,5897.0,0
454,20210227,CO,427462.0,1264,5945.0,5,393.0,21
455,20210227,CT,279946.0,0,7622.0,0,451.0,0
456,20210227,DC,40478.0,194,1010.0,1,171.0,0
457,20210227,DE,86517.0,419,1418.0,0,159.0,0
458,20210227,FL,1868769.0,5316,31280.0,118,3728.0,229
459,20210227,GA,1004187.0,3365,17294.0,75,2405.0,185
460,20210227,GU,7735.0,1,131.0,1,4.0,0
461,20210227,HI,28270.0,104,439.0,2,30.0,0
462,20210227,IA,279744.0,315,5470.0,7,181.0,0
463,20210227,ID,170907.0,312,1859.0,9,162.0,8
464,20210227,IL,1185447.0,1780,22710.0,35,1353.0,0
465,20210227,IN,660942.0,871,12556.0,25,800.0,28
466,20210227,KS,293663.0,0,4735.0,0,258.0,0
467,20210227,KY,403947.0,1021,4625.0,25,765.0,109
468,20210227,LA,428592.0,0,9587.0,0,651.0,0
469,20210227,MA,579680.0,1700,16067.0,43,785.0,0
